Country,Subject Descriptor,Units,Scale,2015,2016,2017,2018,2019,2020
Albania,"Gross domestic product, constant prices",Percent change,,2.219,3.315,3.802,4.019,2.088,-3.482
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,11.389,11.862,13.053,15.157,15.399,15.161
Albania,"Gross domestic product, deflator",Index,,194.969,193.736,196.547,199.442,201.949,203.32
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"12,173.62","12,597.30","13,039.70","13,570.55","13,862.63","13,394.46"
Albania,Total investment,Percent of GDP,,26.237,25.47,24.672,24.118,23.032,22.79
Albania,Gross national savings,Percent of GDP,,15.804,16.796,17.085,17.109,14.742,14.074
Albania,"Inflation, average consumer prices",Index,,100,101.287,103.297,105.393,106.88,108.613
Albania,Volume of imports of goods and services,Percent change,,0.076,8.3,5.993,5.765,4.716,-19.517
Albania,Volume of exports of goods and services,Percent change,,5.272,10.396,10.1,3.469,1.695,-27.509
Albania,Unemployment rate,Percent of total labor force,,17.1,15.2,13.7,12.3,11.47,11.675
Albania,Population,Persons,Millions,2.881,2.876,2.884,2.883,2.881,2.878
Albania,General government revenue,Percent of GDP,,26.44,27.642,27.756,27.485,27.209,25.905
Albania,General government total expenditure,Percent of GDP,,30.758,29.139,29.372,28.802,29.153,32.619
Albania,General government net lending/borrowing,Percent of GDP,,-4.318,-1.498,-1.616,-1.317,-1.944,-6.713
Albania,General government gross debt,Percent of GDP,,73.716,73.324,71.895,69.466,67.285,75.927
Albania,Current account balance,Percent of GDP,,-8.609,-7.572,-7.492,-6.754,-7.571,-8.677
Algeria,"Gross domestic product, constant prices",Percent change,,3.7,3.2,1.4,1.2,0.8,-4.9
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,165.979,160.034,170.207,175.372,171.07,147.6
Algeria,"Gross domestic product, deflator",Index,,237.033,240.704,255.835,273.909,271.416,261.583
Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"11,616.72","11,732.16","11,644.06","11,546.61","11,412.23","10,747.35"
Algeria,Total investment,Percent of GDP,,50.781,50.778,48.544,47.279,45.991,42.597
Algeria,Gross national savings,Percent of GDP,,34.326,34.221,35.424,37.634,36.08,29.921
Algeria,"Inflation, average consumer prices",Index,,172.653,183.699,193.97,202.253,206.2,211.18
